s,v,T_stride,lam1_re,lam1_im,lam2_re,lam2_im,lam3_re,lam3_im,abs_lam1,abs_lam2,abs_lam3,stable
1.058317,0.293001,3.611988,-1.00000000,0.00000000,0.44160917,0.00000000,0.00000000,0.00000000,1.00000000,0.44160917,0.00000000,1
1.061222,0.293860,3.611323,-1.00000000,0.00000000,0.43852194,0.00000000,0.00000000,0.00000000,1.00000000,0.43852194,0.00000000,1
1.064128,0.294719,3.610648,-1.00000000,0.00000000,0.43542626,0.00000000,0.00000000,0.00000000,1.00000000,0.43542626,0.00000000,1
1.067034,0.295580,3.609963,-1.00000000,0.00000000,0.43232214,0.00000000,0.00000000,0.00000000,1.00000000,0.43232214,0.00000000,1
1.069940,0.296442,3.609270,-1.00000000,0.00000000,0.42920958,0.00000000,0.00000000,0.00000000,1.00000000,0.42920958,0.00000000,1
1.072846,0.297305,3.608567,-1.00000000,0.00000000,0.42608857,0.00000000,0.00000000,0.00000000,1.00000000,0.42608857,0.00000000,1
1.075752,0.298169,3.607854,-1.00000000,0.00000000,0.42295913,0.00000000,0.00000000,0.00000000,1.00000000,0.42295913,0.00000000,1
1.078657,0.299035,3.607132,-1.00000000,0.00000000,0.41982127,0.00000000,0.00000000,0.00000000,1.00000000,0.41982127,0.00000000,1
1.081563,0.299901,3.606400,-1.00000000,0.00000000,0.41667497,0.00000000,0.00000000,0.00000000,1.00000000,0.41667497,0.00000000,1
1.084469,0.300769,3.605659,-1.00000000,0.00000000,0.41352025,0.00000000,0.00000000,0.00000000,1.00000000,0.41352025,0.00000000,1
1.087375,0.301637,3.604907,-1.00000000,0.00000000,0.41035711,0.00000000,0.00000000,0.00000000,1.00000000,0.41035711,0.00000000,1
1.090281,0.302507,3.604146,-1.00000000,0.00000000,0.40718555,0.00000000,0.00000000,0.00000000,1.00000000,0.40718555,0.00000000,1
1.093186,0.303378,3.603375,-1.00000000,0.00000000,0.40400558,0.00000000,0.00000000,0.00000000,1.00000000,0.40400558,0.00000000,1
1.096092,0.304251,3.602594,-1.00000000,0.00000000,0.40081720,0.00000000,0.00000000,0.00000000,1.00000000,0.40081720,0.00000000,1
1.098998,0.305124,3.601803,-1.00000000,0.00000000,0.39762041,0.00000000,0.00000000,0.00000000,1.00000000,0.39762041,0.00000000,1
1.101904,0.305999,3.601002,-1.00000000,0.00000000,0.39441522,0.00000000,0.00000000,0.00000000,1.00000000,0.39441522,0.00000000,1
1.104810,0.306875,3.600190,-1.00000000,0.00000000,0.39120164,0.00000000,0.00000000,0.00000000,1.00000000,0.39120164,0.00000000,1
1.107715,0.307753,3.599369,-1.00000000,0.00000000,0.38797966,0.00000000,0.00000000,0.00000000,1.00000000,0.38797966,0.00000000,1
